id,skill
104062746,Киберучения
104584972,Windows
104584972,Linux
104584972,C++
104584972,Python
104584972,QML
104584972,CI/CD
104584972,REST API
103693903,Python
103693903,Redis
103693903,ООП
103693903,PostgreSQL
103693903,Unit Testing
103693903,SQL
103693903,Git
103693903,C++
103693903,STL
104426356,Техническая поддержка
104426356,Администрирование серверов Linux
104426356,Администрирование серверов Windows
104426356,ESXi
104426356,Hyper-V
104426356,KVM
104426356,Python
104426356,Bash
104426356,PowerShell
104426356,OpenStack
99279198,PHP
99279198,Yii
99279198,Laravel
99279198,Docker
99279198,MySQL
99279198,RabbitMQ
99279198,MongoDB
99279198,Go
99279198,Elasticsearch
99279198,Python
99279198,TypeScript
98534800,Linux
98534800,Git
98534800,SVN
98534800,Bash
102843166,TeamCity
102843166,Gitlab
102843166,Postgres
102843166,Grafana
102843166,Python
102843166,PowerShell
102843166,Bash
102843166,Go
102843166,C#
102843166,CI/CD
102843166,Windows
102843166,Linux
103891804,Бизнес-анализ
103891804,Анализ данных
103891804,Power BI
103891804,Сбор данных
103891804,Оптимизация бизнес-процессов
103891804,Добросовестность
103891804,Умение работать в команде
103891804,Ориентированность на результат
103891804,Бизнес-процессы
98237258,Qt
98237258,GUI
98237258,C/C++
98237258,архитектура ПО
98237258,UML
98237258,SDL
98237258,Git
98237258,Linux
98237258,docker
98237258,unit-test
98237258,QML
98237258,CI/CD
103778179,программирование
103778179,работа с детьми
103778179,роботоехника
103778179,проведение занятий для детей
103778179,3D Моделирование
103778179,Схемотехника электронного оборудования
103778179,Arduino
103778179,Подготовка методических материалов
103778179,Преподаватель
103778179,Прораммист
103778179,Инженер
103778179,работа на Linux
90234671,SQL
90234671,ETL
90234671,DWH
103344410,Python
103344410,Django Framework
103344410,PostgreSQL
92202389,Linux
92202389,Nginx
92202389,Docker
92202389,Asyncio
92202389,aiohttp
92202389,Squid
92202389,Сетевые технологии
92202389,Информационная безопасность
92202389,Python
92202389,Асинхронное программирование
92202389,Clickhouse
92202389,ETCD
100355929,Python
100355929,системная аналитика
100355929,Знание БД
100355929,написание технических заданий
100355929,Doker
100355929,JSON
100355929,SOAP
100355929,REST
100355929,PostgreSQ
103460217,Python
103460217,Linux
103460217,Сетевые протоколы
103460217,Микросервисы
103460217,Базы данных
103460217,SQLAlchemy
103460217,Docker
103478808,Git
103478808,JavaScript
103478808,Postman
103478808,Linux
103478808,iOS
103478808,Тестирование
103478808,Английский язык
103478808,Python
103478808,Android
100497216,MES
100497216,BPM
100497216,SQL
100497216,OPC
97866651,Ручной монтаж SMD компонентов
97866651,Измерительные приборы
97866651,Чтение электросхем
97866651,Чтение конструкторской документации
97866651,Техническая документация
97866651,LoraWan
97866651,SMD
97866651,Delphi
97866651,Python
97866651,Функциональное тестирование
103722592,Функциональное тестирование
103722592,SQL
103722592,Atlassian Confluence
103722592,Тестирование API
103722592,Python
103722592,Java
103722592,Atlassian Jira
103722592,Автоматизированное тестирование
94555488,Linux
94555488,Python
94555488,Docker
94555488,Kubernetes
94555488,Ansible
94555488,DevOps
100414838,Golang
100414838,Linux
100414838,RabbitMQ
100414838,Redis
100414838,MySQL;
